Marka,Rejestracje,Model1,Model2,Model3,Model4,Model5
Toyota,91195,Corolla,Camry,RAV4,Yaris,Highlander
Skoda,51479,Octavia, Superb, Karoq, Kodiaq, Scala
Kia,36081,Sportage, Ceed, Sorento, Picanto, Stonic
Volkswagen,33924,Golf, Polo, Passat, Tiguan, Arteon
Hyundai,26931,Tucson, i30, Santa Fe, Kona, Elantra
Audi,26024,A4, A6, Q5, Q7, A3
BMW,23225,3 Series, 5 Series, X5, X3, 1 Series
Mercedes,21339,C-Class, E-Class, GLE, A-Class, GLC
Renault,18221,Clio, Megane, Captur, Kadjar, Talisman
Dacia,17845,Duster, Sandero, Logan, Dokker, Lodgy
Volvo,12542,XC60, XC90, S60, V60, XC40
Ford,12111,Focus, Fiesta, Mustang, Explorer, Kuga
Mazda,11055,CX-5, Mazda3, Mazda6, CX-30, MX-5
Lexus,10495,RX, NX, ES, UX, LS
Opel,9523,Corsa, Astra, Insignia, Mokka, Crossland
Peugeot,8792,208, 3008, 5008, 308, 2008
Cupra,8782,Formentor, Ateca, Leon, Born, Tavascan
Suzuki,8415,Swift, Vitara, Ignis, SX4 S-Cross, Jimny
Nissan,6639,Qashqai, Juke, X-Trail, Micra, Leaf
Citroen,5701,C3, C4, C5 Aircross, Berlingo, C1
SEAT,4682,Leon, Ibiza, Ateca, Arona, Tarraco
Tesla,4634,Model 3, Model S, Model X, Model Y, Cybertruck
Porsche,4281,911, Cayenne, Macan, Panamera, Taycan
Fiat,3728,500, Panda, Tipo, 500X, 500L
Mini,3639,Cooper, Countryman, Clubman, Convertible, Paceman
Honda,2427,Civic, CR-V, Accord, HR-V, Jazz
Jeep,2180,Wrangler, Grand Cherokee, Renegade, Compass, Cherokee
Ssangyong,1957,Korando, Tivoli, Rexton, Musso, XLV
Land Rover,1744,Range Rover, Discovery, Defender, Evoque, Velar
Mitsubishi,1516,Outlander, ASX, Eclipse Cross, Pajero, L200
Alfa Romeo,1145,Giulia, Stelvio, Giulietta, 4C, Tonale
Subaru,864,Impreza, Forester, Outback, Crosstrek, BRZ
DS Automobiles,645,DS 7 Crossback, DS 3 Crossback, DS 9, DS 4, DS 5
Jaguar,310,F-Pace, XE, XF, E-Pace, I-Pace
Abarth,202,595, 695, 124 Spider, 500C, Punto Evo
MAN,112,TGE, TGX, TGM, TGL, TGS
Maserati,92,Ghibli, Levante, Quattroporte, GranTurismo, MC20
Ferrari,87,488, Roma, Portofino, SF90 Stradale, F8 Tributo
Bentley,68,Continental GT, Bentayga, Flying Spur, Mulsanne, Azure
MG,64,ZS, HS, MG5, MG3, Marvel R
Lamborghini,44,Huracan, Aventador, Urus, Gallardo, Sian
Maxus,40,Euniq 5, Deliver 9, T90 EV, V80, E Deliver 3
Aston Martin,32,DB11, Vantage, DBX, Vanquish, Rapide
Alpine,31,A110, A110S, A110 GT, A110 Pure, A110 Legende
Smart,31,Fortwo, Forfour, EQ Fortwo, EQ Forfour, Crossblade
Ineos,25,Grenadier, Quartermaster, Grenadier FCEV, Grenadier EV, Grenadier Hydrogen
Skywell,24,ET5, HFCV, D11, K7, K5
Rolls-Royce,20,Phantom, Ghost, Cullinan, Wraith, Dawn
Alpina,15,B3, B5, XD3, XD4, B7
Seres,15,3, 5, SF5, SF7, S1
